"SMILES","HMDB.ID","lab.id","b'Metabolite.name'","M","m/z","CCS","adducts","formal.charge","physiological.charge","predicted.logp.ALOGPS","predicted.logp.ChemAxon","logs","pka.strongest.acidic","pka.strongest.basic","acceptor.count","donor.count","polar.surface.area","rotatable.bond.count","refractivity","polarizability"
"NC[C@H](O)CC[C@H](N)C(O)=O","HMDB00450","S0153","b'5-Hydroxy-L-lysine'","162.1004","161.0926","131.6950415","[M-H]","0","1","-3.77","-4.4","-0.12","2.45","9.75","5","4","109.57","5","39.17","16.55"
"C[C@H](O)[C@H](O)C1=NC2=C(NC(N)=NC2=O)N=C1","HMDB00468","L0150","b'Biopterin'","237.0862","236.0784","148.3147301","[M-H]","0","0","-0.87","-1.2","-1.77","7.6","-1.3","8","4","133.72","2","58.13","22.41"
"OCC1=CNC(=O)NC1=O","HMDB00469","L0115","b'5-Hydroxymethyluracil'","142.0378","141.03","119.2080933","[M-H]","0","0","-1.31","-1.7","-1.01","9.61","-2.8","3","3","78.43","1","32.1","12.34"
"NC(CC1=CNC2=C1C=C(O)C=C2)C(O)=O","HMDB00472","S0129","b'5-Hydroxytryptophan'","220.0848","219.077","149.2001283","[M-H]","0","0","-1.56","-1.4","-1.78","2.15","9.18","4","4","99.34","3","58.18","22.03"
"NC(CC1=CNC2=C1C=C(O)C=C2)C(O)=O","HMDB00472","S0162","b'5-Hydroxy-L-tryptophan'","220.0848","219.077","148.8583254","[M-H]","0","0","-1.56","-1.4","-1.78","2.15","9.18","4","4","99.34","3","58.18","22.03"
"CN1C=NC=C1C[C@H](N)C(O)=O","HMDB00479","S0081","b'3-Methylhistidine '","169.0851","168.0773","134.3698669","[M-H]","0","0","-2.89","-3.4","-1.39","1.96","9.43","4","2","81.14","3","42.96","16.58"
"CCCCCCCC(O)=O","HMDB00482","S0185","b'Caprylic acid'","144.115","143.1072","139.4610009","[M-H]","0","-1","2.92","2.7","-2.2","5.19","NA","2","1","37.3","6","40.28","17.4"
"OC(=O)C1=CC=C(O)C=C1","HMDB00500","S0014","b'4-Hydroxybenzoate'","138.0317","137.0239","119.3290155","[M-H]","0","-1","1.58","1.33","-1.06","4.38","-6.1","3","2","57.53","1","35.3","12.94"
"NC(CCCC(O)=O)C(O)=O","HMDB00510","L0090","b'DL-2-Aminoadipic acid'","161.0689","160.0611","127.6929503","[M-H]","0","-1","-3.43","-2.8","-0.69","2.01","9.53","5","3","100.62","5","35.89","15.53"
"CCCCCCCCCC(O)=O","HMDB00511","S0181","b'Capric acid'","172.1463","171.1385","146.8716598","[M-H]","0","-1","3.93","3.59","-3.26","4.95","NA","2","1","37.3","8","49.48","21.61"
