"SMILES","HMDB.ID","lab.id","b'Metabolite.name'","M","m/z","CCS","adducts","formal.charge","physiological.charge","predicted.logp.ALOGPS","predicted.logp.ChemAxon","logs","pka.strongest.acidic","pka.strongest.basic","acceptor.count","donor.count","polar.surface.area","rotatable.bond.count","refractivity","polarizability"
"OC(=O)CNC(=O)C1=CC=CC=C1O","HMDB00840","L0139","b'Salicyluric acid'","195.0532","194.0454","133.0097748","[M-H]","0","-1","0.51","0.87","-1.68","3.27","-2","4","3","86.63","3","48.1","18.4"
"NC1=NC2=C(N=C(C=N2)C(O)C(O)CO)C(=O)N1","HMDB00845","L0157","b'D-Neopterin'","253.0811","252.0733","150.3074716","[M-H]","0","0","-1.75","-2.8","-1.61","9.99","0.98","8","5","153.95","3","60.11","23.34"
"CCCCCCCCC(O)=O","HMDB00847","L0422","b'Pelargonic acid'","158.1307","157.1229","143.3257525","[M-H]","0","-1","3.47","3.14","-2.75","5.23","NA","2","1","37.3","7","44.88","19.49"
"OC(=O)CCCCCC(O)=O","HMDB00857","S0166","b'Pimelic acid'","160.0736","159.0658","129.2857791","[M-H]","0","-2","0.51","0.94","-1.08","4.05","NA","4","2","74.6","6","37.34","16.31"
"OC(=O)CNC(=O)CCC1=CC=CC=C1","HMDB00860","L0200","b'Phenylpropionylglycine'","207.0895","206.0817","153.2966666","[M-H]","0","-1","0.93","0.95","-2.92","4","-1.5","3","2","66.4","5","54.77","21.48"
"CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","HMDB00866","S0164","b'N-Acetyl-L-tyrosine'","223.0845","222.0767","149.4415679","[M-H]","0","-1","1.03","0.59","-1.95","3.67","-1.5","4","3","86.63","4","56.54","22.21"
"OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1","HMDB00881","S0028","b'Xanthurenic acid'","205.0375","204.0297","132.5127294","[M-H]","0","-1","2.01","0.78","-2.1","1.12","5.3","5","3","90.65","1","50.83","19.06"
"CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O","HMDB00884","S0227","b'Ribothymidine'","258.0852","257.0774","153.522885","[M-H]","0","0","-1.71","-2","-0.28","9.95","-3","6","4","119.33","2","56.92","24.02"
"OC(=O)CCCCCCC(O)=O","HMDB00893","S0214","b'Suberic acid'","174.0892","173.0814","133.1953304","[M-H]","0","-2","1","1.38","-1.48","4.15","NA","4","2","74.6","7","41.94","18.41"
"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","HMDB00896","S0318","b'Taurodeoxycholic acid'","499.2968","498.289","204.3683815","[M-H]","0","-1","1.19","0.85","-4.81","-0.94","0.22","6","4","123.93","7","130.6","56.56"
"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C","HMDB00899","S0361","b'5alpha-Androstane-3,17-dione'","288.2089","287.2011","174.3195727","[M-H]","0","0","3.4","3.97","-4.59","19.78","-7.1","2","0","34.14","0","82.78","33.84"
"CCCCCCCCCCCCC(O)=O","HMDB00910","S0366","b'Tridecanoic acid (Tridecylic acid)'","214.1933","213.1855","155.1626792","[M-H]","0","-1","5.57","4.92","-4.74","4.95","NA","2","1","37.3","11","63.28","27.95"
"OC(=O)CCCCCCCC\C=C\C(O)=O","HMDB00933","S0283","b'Traumatic Acid'","228.1362","227.1284","149.8516892","[M-H]","0","-2","2.96","3.16","-3.11","4.72","NA","4","2","74.6","10","61.44","26.06"
"O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O","HMDB00935","L0081","b""Uridine 5'-diphosphoglucuronic acid (UDP-D-glucuronate)""","580.0343","601.0085","201.6016364","[M+Na-2H]","0","-3","-1.21","-4.7","-1.51","1.72","-3.7","15","9","308.61","9","106.32","45.26"
"OC(=O)CCC1=C(CC(O)=O)/C2=C/C3=N/C(=C\C4=C(CCC(O)=O)C(CC(O)=O)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(CC(O)=O)=C4CCC(O)=O)/C(CC(O)=O)=C3CCC(O)=O","HMDB00936","L0335","b'Uroporphyrin I'","830.2283","829.2205","267.7865684","[M-H]","0","-8","0.76","3.51","-4.35","3.16","NA","18","10","355.76","20","201.32","84.92"
"OC[C@@H](O)[C@H](O)C(O)=O","HMDB00943","L0376","b'L-Threonate '","136.0372","135.0294","116.8427574","[M-H]","0","-1","-2.11","-2.1","0.55","3.4","-3","5","4","97.99","3","26.35","11.61"
"CCCCCCCCCCCCCCCCCCCCCC(O)=O","HMDB00944","S0350","b'Behenic acid'","340.3341","339.3263","191.1796691","[M-H]","0","-1","9.19","8.92","-7.05","4.95","NA","2","1","37.3","20","104.69","47.25"
"CCCCCCCCCCC(O)=O","HMDB00947","S0365","b'Undecanoic Acid'","186.162","185.1542","148.8695576","[M-H]","0","-1","4.49","4.03","-3.91","4.95","NA","2","1","37.3","9","54.08","23.73"
"[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","HMDB00951","S0245","b'Taurochenodeoxycholate'","499.2968","498.289","205.3937465","[M-H]","0","-1","1.38","0.81","-4.82","-0.99","0.18","6","4","123.93","7","130.68","56.64"
"OC(=O)CCCCCCC(=O)NCC(O)=O","HMDB00953","L0201","b'Suberylglycine'","231.1107","230.1029","146.8123024","[M-H]","0","-2","0.32","0.27","-2.06","3.91","-0.95","5","3","103.7","9","54.74","23.96"
"O[C@H]([C@@H](O)C(O)=O)C(O)=O","HMDB00956","S0378","b'Tartaric acid'","150.0164","149.0086","115.4563289","[M-H]","0","-2","-1.27","-1.8","0.03","2.72","-4.3","6","4","115.06","3","26.21","11.33"
"NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1","HMDB00960","L0129","b""2'-Deoxyguanosine 5'-diphosphate (dGDP)""","427.0294","408.011","174.2753444","[M-H2O-H]","0","-2","-1.45","-2.6","-2.07","1.97","1.36","11","6","228.05","6","84.86","34.99"
"[H]OP(=O)(O[H])OP(=O)(O[H])OC\C=C(/C)CC\C=C(/C)CCC=C(C)C","HMDB00961","L0096","b'Farnesyl pyrophosphate'","382.131","381.1232","183.8520866","[M-H]","0","-2","2.4","3.62","-3.68","1.77","NA","5","3","113.29","11","96.73","37.94"
"CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N=C1N","HMDB00982","S0230","b'5-Methylcytidine'","257.1012","256.0934","152.6283961","[M-H]","0","0","-2.17","-2.4","-1.09","12.55","-0.12","7","4","128.61","2","58.9","24.54"
"CCCCCCC(N)C(O)=O","HMDB00991","S0189","b'DL-2-Aminooctanoic acid'","159.1259","158.1181","141.6207483","[M-H]","0","0","-0.99","-0.54","-1.47","2.89","9.53","3","2","63.32","6","43.43","18.72"
"NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1","HMDB00998","L0059","b""Deoxycytidine 5'-triphosphate (dCTP)""","466.9896","465.9818","176.921727","[M-H]","0","-3","-0.52","-3.6","-1.6","0.95","-0.05","12","6","247.97","8","85.65","35.21"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O","HMDB01003","L0069","b""Adenosine 5'-phosphosulfate (APS)""","427.0199","426.0121","180.4779267","[M-H]","0","-2","-1.64","-5.8","-2.11","-2.1","4.99","12","5","229.44","6","84.06","35.24"
"CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(N1)\C=C1/N\C(=C\C2=NC(=O)C(C=C)=C2C)C(C)=C1CCC(O)=O","HMDB01008","L0333","b'Biliverdin'","582.2478","581.24","242.0389895","[M-H]","0","-1","3.77","0.47","-4.68","3.65","7.13","8","5","160.95","11","169.16","64.53"
"CSCC[C@@H](NC=O)C(O)=O","HMDB01015","S0097","b'N-Formylmethionine'","177.046","176.0382","134.0921608","[M-H]","0","-1","-0.61","-0.16","-1.26","3.93","-0.91","3","2","66.4","5","42.54","17.46"
"O[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","HMDB01031","L0271","b'2-Deoxyribose 5-phosphate'","214.0242","213.0164","132.4693804","[M-H]","0","-2","-2.14","-1.5","-0.76","1.23","-3.3","6","4","116.45","3","39.32","17.46"
"CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","HMDB01043","L0145","b'Arachidonic Acid (peroxide free)'","304.2402","303.2324","178.9413724","[M-H]","0","-1","6.8","6.59","-6.3","4.82","NA","2","1","37.3","14","99.95","37.2"
"NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1","HMDB01044","S0294","b""2'-Deoxyguanosine 5'-monophosphate (dGMP)""","347.0631","368.0373","167.9263047","[M+Na-2H]","0","-2","-1.92","-2.8","-2.11","1.21","2.62","10","5","181.52","4","73.55","29.86"
"NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CN2)C(=O)N1","HMDB01056","L0041","b'7,8-Dihydrofolate'","443.1553","442.1475","196.4184197","[M-H]","0","-2","-1.61","-2.1","-3.55","3.16","3.68","11","7","207.6","9","121.19","44.38"
"CC(=O)N[C@H]1C(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","HMDB01062","L0310","b'N-Acetyl-D-Glucosamine 6-Phosphate'","301.0563","300.0485","152.8294495","[M-H]","0","-2","-2.02","-3.3","-1.23","1.23","-0.79","8","6","165.78","4","57.9","25.8"
"C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","HMDB01066","L0336","b'S-Lactoylglutathione'","379.1049","400.0791","176.5883215","[M+Na-2H]","0","-1","-2.88","-5.4","-1.7","1.74","9.31","9","6","196.12","12","84.78","36.01"
"CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O","HMDB01067","L0177","b'N-Acetylaspartylglutamate (NAAG)'","304.0907","285.0723","156.7720053","[M-H2O-H]","0","-3","-1.1","-2.3","-1.97","3.13","-1.4","8","5","170.1","9","64.06","27"
"CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12","HMDB01070","L0402","b'Octanoyl-CoA'","893.2197","892.2119","268.723096","[M-H]","0","-4","0.45","-4.1","-2.41","0.83","4.95","17","9","363.63","26","199.84","81.57"
"OC[C@H]1O[C@](O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O","HMDB01076","L0323","b'Fructose 1-phosphate'","260.0297","259.0219","141.8587545","[M-H]","0","-2","-2.11","-2.9","-0.89","1.16","-3","8","6","156.91","4","47.23","21.06"
"O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","HMDB01078","L0397","b'D-Mannose-6-phosphate'","260.0297","259.0219","143.4729104","[M-H]","0","-2","-2.06","-3.1","-0.92","1.22","-3.6","8","6","156.91","3","46.8","20.43"
"CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01088","L0082","b'Butyryl-coenzyme A (Butyryl-CoA)'","837.157","836.1492","253.2627008","[M-H]","0","-4","-0.22","-5.8","-2.32","0.83","4.95","17","9","363.63","22","181.44","75.82"
"C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O","HMDB01095","L0383","b'GDP-L-Fucose'","589.0822","588.0744","206.7238787","[M-H]","0","-2","-1.69","-4.5","-1.92","1.93","1.31","15","9","307.2","8","116.97","47.87"
"CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01113","L0147","b'3-Methylbutanoyl-CoA'","851.1727","850.1649","255.721521","[M-H]","0","-4","-0.27","-5.5","-2.36","0.83","4.95","17","9","363.63","22","185.98","76.98"
"CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01114","L0403","b'Stearoyl-CoA'","1033.3762","1032.3684","301.8098142","[M-H]","0","-4","2.86","0.39","-3.04","0.83","4.95","17","9","363.63","36","245.85","104.58"
"CC(C)=CCO[P@](O)(=O)OP(O)(O)=O","HMDB01120","S0238","b'Dimethylallyl pyrophosphate'","246.0058","244.998","143.0964999","[M-H]","0","-2","0.3","0.3","-1.58","1.77","NA","5","3","113.29","5","49.13","19.19"
"NC1=CC=CC=C1C(O)=O","HMDB01123","S0363","b'Anthranilic acid (Vitamin L1)'","137.0477","136.0399","123.9943094","[M-H]","0","-1","0.78","1.45","-1.3","4.89","1.95","3","2","63.32","1","38.01","13.29"
"NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O","HMDB01134","L0428","b""3'-Phosphoadenosine 5'-phosphosulfate (PAPS)""","506.9862","505.9784","192.7560708","[M-H]","0","-4","-0.65","-7.1","-2","-2.1","4.94","14","6","275.97","8","94.93","39.36"
"CC(=O)NC(CCC(O)=O)C(O)=O","HMDB01138","L0012","b'_x000D_\n_x000D_\nN-Acetyl-L-glutamate '","189.0637","210.0379","141.0040924","[M+Na-2H]","0","-2","-0.67","-1.1","-1.01","3.43","-1.2","5","3","103.7","5","40.73","17.28"
"NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1","HMDB01163","L0292","b'Guanosine diphosphate mannose'","605.0772","604.0694","207.3472399","[M-H]","0","-2","-1.76","-5.5","-1.89","1.31","3.19","16","10","327.43","9","118.51","48.77"
"[H][C@]1(O[C@](C[C@H](O)[C@H]1NC(C)=O)(OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O)C(O)=O)[C@H](O)[C@H](O)CO","HMDB01176","L0294","b'Cytidine monophosphate N-acetylneuraminic acid'","614.1473","613.1395","215.4965167","[M-H]","0","-2","-2.7","-5.9","-1.23","1.48","-0.77","16","10","320.69","11","125.42","54.33"
"NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","HMDB01179","L0389","b'Nicotinic acid adenine dinucleotide (NAAD)'","664.0931","707.0493","238.4851149","[M+2Na-3H]","1","-2","-0.89","-9.9","-2.57","1.81","5","16","8","312.47","11","140.17","58.26"
"NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@@H](O)[C@H]3O)C2=NC=N1","HMDB01211","L0388","b""P1,P4-Diadenosine 5'-tetraphosphate""","836.0483","835.0405","236.8984652","[M-H]","0","-4","-0.71","-10","-2.18","0.6","5.29","22","10","433.97","14","166.1","67.57"
"CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O","HMDB01213","L0429","b'1-Deoxy-D-xylulose 5-phosphate '","214.0242","213.0164","134.4768162","[M-H]","0","-2","-1.93","-1.9","-0.89","1.48","-3.6","6","4","124.29","5","40.77","17.18"
"CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","HMDB01220","L0372","b'Prostaglandin E2'","352.225","333.2066","183.5722086","[M-H2O-H]","0","-1","3.31","3.23","-3.9","4.3","-1.6","5","3","94.83","12","99.44","41"
"CC(=O)NCCC1=CNC2=C1C=C(O)C=C2","HMDB01238","S0130","b'N-Acetylserotonin'","218.1055","217.0977","148.6546769","[M-H]","0","0","0.98","1","-2.58","9.56","-0.94","2","3","65.12","3","61.8","23.59"
"CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01243","L0101","b'Isobutyryl-CoA'","837.157","836.1492","254.3077844","[M-H]","0","-4","-0.31","-5.7","-2.34","0.83","4.95","17","9","363.63","21","181.41","75.19"
"NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1","HMDB01245","L0116","b""2'-Deoxycytidine diphosphate (dCDP)""","387.0233","386.0155","170.9703987","[M-H]","0","-2","-1.48","-3","-1.53","1.78","-0.005","10","5","201.44","6","74.78","30.77"
"CC(=O)NC1=CC=CC=C1","HMDB01250","S0319","b'N-Phenylacetamide'","135.0684","134.0606","124.1672831","[M-H]","0","0","1.05","1.21","-1.53","14.38","-4.4","1","1","29.1","1","40.92","14.52"
"C[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","HMDB01265","L0409","b'L-Fucose-1-phosphate'","244.0348","243.027","143.3703771","[M-H]","0","-2","-1.53","-2","-0.85","1.16","-3.6","7","5","136.68","2","45.25","19.71"
"CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O","HMDB01274","L0117","b""Deoxythymidine 5'-diphosphate (dTDP)""","402.0229","401.0151","172.1110911","[M-H]","0","-2","-0.87","-1.7","-1.76","1.77","-3.2","9","5","192.16","6","77.16","32.13"
"CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O","HMDB01285","L0284","b'Geranyl diphosphate'","314.0684","295.05","161.4998822","[M-H2O-H]","0","-2","1.63","1.96","-2.54","1.77","NA","5","3","113.29","8","72.93","28.52"
"CCCCCCCC\C=C/CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01322","L0438","b'Oleoyl-CoA'","1031.3605","1030.3527","298.7860155","[M-H]","0","-4","2.83","0.032","-3.06","0.83","4.95","17","9","363.63","35","246.97","103.01"
"CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC(C[C@H]12)=CCCCC(O)=O","HMDB01335","L0385","b'Prostaglandin I2'","352.225","351.2172","186.842606","[M-H]","0","-1","3.83","2.42","-3.41","4.43","-1.6","5","3","86.99","10","99.01","41.47"
"OC(=O)CC1=CC(O)=C(O)C=C1","HMDB01336","L0266","b'3,4-Dihydroxyphenylacetic acid'","168.0423","149.0239","125.7017147","[M-H2O-H]","0","-1","0.93","1","-1.37","3.61","-6.3","4","3","77.76","2","41.33","15.71"
"CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01338","L0295","b'Palmitoyl CoA'","1005.3449","1004.3371","296.4589022","[M-H]","0","-4","2.35","-0.5","-2.76","0.83","4.95","17","9","363.63","34","236.65","100.19"
"CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCC(O)=O","HMDB01339","L0330","b'Glutaryl-CoA'","881.1469","880.1391","252.3903499","[M-H]","0","-5","-0.48","-6.7","-2.39","0.83","5.01","19","10","400.93","24","187.7","78.02"
"CC(=C)CCO[P@](O)(=O)OP(O)(O)=O","HMDB01347","S0239","b'Isopentenyl pyrophosphate'","246.0058","244.998","141.7082199","[M-H]","0","-2","0.04","0.2","-1.57","1.78","NA","5","3","113.29","6","48.21","19.01"
"CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O","HMDB01367","L0291","b'N-Acetylglucosamine 1-phosphate'","301.0563","300.0485","156.4181529","[M-H]","0","-2","-2","-3.3","-1.21","1.18","-0.79","8","6","165.78","4","57.9","25.41"
"N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O","HMDB01370","S0385","b'Diaminoheptanedioate'","190.0954","211.0696","137.9953652","[M+Na-2H]","0","0","-4.13","-5.5","-1.13","1.85","9.83","6","4","126.64","6","43.64","18.93"
"N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O","HMDB01370","S0212","b'Diaminopimelic acid'","190.0954","189.0876","134.2750258","[M-H]","0","0","-4.13","-5.5","-1.13","1.85","9.83","6","4","126.64","6","43.64","18.93"
"CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS","HMDB01373","L0051","b'Dephosphocoenzyme A (Dephospho-CoA)'","687.1489","686.1411","232.5109087","[M-H]","0","-2","-0.98","-5.9","-2.43","1.86","5","14","9","300.03","16","151.87","62.51"
"C[C@](O)(CC(O)=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01375","L0286","b'DL-3-hydroxy-3-methylglutaryl-CoA (HMG CoA)'","911.1575","910.1497","259.3458218","[M-H]","0","-5","-0.53","-7.5","-2.35","0.83","5","20","11","421.16","24","193.7","81.01"
"CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","HMDB01388","L0146","b'alpha-Linolenic acid'","278.2246","277.2168","173.0720309","[M-H]","0","-1","6.62","6.06","-6.02","4.99","NA","2","1","37.3","13","89.64","34.98"
"COC1=CC2=C(NC=C2CCNC(C)=O)C=C1","HMDB01389","L0089","b'Melatonin '","232.1212","231.1134","153.534388","[M-H]","0","0","1.42","1.15","-3.21","15.8","-0.94","2","2","54.12","4","66.28","25.65"
"CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2","HMDB01396","L0136","b'5-Methyltetrahydrofolate (5-Methyl-THF) '","459.1866","480.1608","201.0281992","[M+Na-2H]","0","-2","-1.26","-2.8","-3.12","3.22","4.64","11","7","198.48","9","126.88","46.13"
"[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O","HMDB01403","L0448","b'Prostaglandin D2(PGD2)'","352.225","333.2066","186.1682178","[M-H2O-H]","0","-1","3.12","3.23","-3.61","4.4","-1.6","5","3","94.83","12","99.44","40.78"
"O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O","HMDB01409","L0114","b'Deoxyuridine monophosphate (dUMP)'","308.041","307.0332","156.0041583","[M-H]","0","-2","-1.42","-1.6","-1.59","1.23","-3.2","7","4","145.63","4","61.93","25.86"
"C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O","HMDB01413","S0241","b""Cytidine 5'-diphosphocholine (CDP-choline)""","488.1073","487.0995","200.6354903","[M-H]","0","-1","-1.38","-6.2","-1.83","1.85","-0.52","10","4","213.5","10","113.58","42.54"
"CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS","HMDB01423","L0066","b'Coenzyme A (CoA)'","767.1152","766.1074","241.5369313","[M-H]","0","-4","-0.61","-6.8","-2.22","0.83","4.95","16","10","346.56","18","162.74","66.81"
"C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O","HMDB01425","L0370","b'Estrone 3-sulfate'","350.1188","349.111","188.8540005","[M-H]","0","-1","0.29","3.83","-4.77","-1.7","-7.5","4","1","80.67","2","89.07","36.64"
"NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1","HMDB01440","L0077","b'Deoxyguanosine triphosphate (dGTP)'","506.9957","505.9879","189.2590047","[M-H]","0","-3","-0.61","-2.8","-1.96","0.82","1.61","13","7","274.58","8","95.73","39.1"
"CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O","HMDB01442","L0374","b'Prostaglandin E1'","354.2406","335.2222","181.9359957","[M-H2O-H]","0","-1","3.04","3.59","-3.65","4.35","-1.6","5","3","94.83","13","98.32","41.88"
"CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N","HMDB01484","L0044","b'Acetoacetyl coenzyme A (Acetoacetyl-CoA)'","851.1363","850.1285","252.9375861","[M-H]","0","-4","-0.37","-6.8","-2.35","0.83","4.95","18","9","380.7","22","182.1","75.05"
"CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O","HMDB01491","L0176","b""Pyridoxal 5'-phosphate""","247.0246","246.0168","146.3361189","[M-H]","0","-2","-0.55","-2.1","-1.64","1.68","4.11","6","3","116.95","4","54.75","20.9"
"NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","HMDB01517","L0226","b""5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide (AICAR)""","338.0628","337.055","167.6150834","[M-H]","0","-2","-2.16","-4.8","-2.08","1.22","4.8","9","6","203.38","5","69.14","28.57"
"CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2","HMDB01520","L0070","b'Flavin mononucleotide (FMN)'","456.1046","455.0968","194.9217931","[M-H]","0","-3","-0.78","-1","-2.83","1.57","0.68","11","6","201.58","7","107.14","42.19"
