Accession,Symbol,BT549,HS578T,MCF7,MCF7ADR,MDAMB231,MDAMB435,T47D,SF268,SF295,SF539,SNB19,SNB75,U251,COLO205,HCC2998,HCT116,HCT15,HT29,KM12,SW620,CCRFCEM,HL60,K562,MOLT4,RPMI8226,SR,LOXIMVI,M14,MALME3M,SKMEL2,SKMEL28,SKMEL5,UACC257,UACC62,A549,EKVX,H226,H23,H322M,H460,H522,HOP62,HOP92,IGROV1,OVCAR3,OVCAR4,OVCAR5,OVCAR8,SKOV3,DU145,PC3,7860,A498,ACHN,CAKI1,RXF393,SN12C,TK10,UO31
IPI00029605,GALNS,596010,2470600,0,0,0,1445700,757950,165160,210860,482550,0,0,0,20278,609770,0,0,0,44258,113930,0,0,0,0,1601100,942450,73993,364520,63575,57664,51270,0,777550,71004,0,0,64412,101040,274100,0,162170,10068,158040,173320,0,653530,87568,0,207630,0,12036,0,0,0,326560,0,180310,0,24681
IPI00029623,PSMA6 (includes EG:246582),9622900,2910400,8777600,11780000,13995000,6191400,11215000,32493000,6095800,2022800,8791900,1028200,8990600,6946500,4855900,4717400,2918200,11006000,4669100,16862000,8108800,23749000,6059200,11461000,13363000,8438900,6103600,24266000,1259300,2084100,151450,9680300,7980500,21233000,5597100,419000,14131000,2871600,1141700,18192000,4472700,304640,1668000,1674700,5219100,10909000,20197000,18418000,7230200,12778000,13647000,463940,7817700,3107400,6542100,12631000,7303500,3134900,6675200
IPI00029629,TRIM25,351720,17428,1519700,8540300,3144800,760590,1650100,9424500,788610,2613800,598000,118400,1699900,2277500,1313600,2707600,201710,1950000,602710,1024500,360220,1446800,1370000,3060900,2921200,308520,315960,834170,478980,331830,146310,3542900,1260800,1996000,1867600,301220,3142400,518360,5316.7,929570,1094400,135720,797070,1931600,275500,716490,476060,2345800,4713400,3776600,3877000,930510,2252200,1738900,1919400,5191200,6922500,1789100,1469400
IPI00029631,ERH,12070000,1282400,10067000,3474900,3530500,2033700,1978300,4279500,3763900,4069700,2972000,272380,593740,6361600,9523500,5723500,252500,2457100,1763000,1506200,1074400,24381000,3852900,0,5651500,4213300,3528500,781250,925680,489370,0,1067600,713320,12039000,4500500,0,6414200,0,9213700,5560500,7534100,5910.6,4118200,0,0,22111000,643160,6543100,2582700,2683300,7053700,116260,4776800,6038200,0,104950,292190,1823900,3362800
IPI00029656,DFNA5,0,0,0,0,1731900,0,0,2811900,164040,0,0,39806,72795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338410,395730,0,0,515860,0,0,646560,0,4475900,0,0,0,646380,37390,450840,41629,0,0,0,564890,0,0,0,325170,599880,1321400,679620,2027100,0,1016300,2712100
IPI00029658,EFEMP1,137680,0,0,0,0,0,47991,0,0,0,6213300,909760,1418900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713.1
IPI00029665,MMAB,1898500,107430,4848800,2117700,216540,156270,3964100,1232900,566860,836750,814440,65888,247510,1706100,534700,104350,63788,2258500,941320,4033200,176920,554460,136860,1369300,2562700,3946400,156780,4018400,1462100,250450,162130,1223400,5310300,9314900,1626300,35195,1877600,134920,53192,3925200,143850,234720,317930,109460,359410,8858800,757840,1076000,1451800,999200,2601500,99668,88662,275210,746060,210500,870070,63103,1425200
IPI00029693,NRP2,0,0,0,0,0,0,0,0,822570,505380,4554000,0,1303700,0,48119,0,0,0,0,0,10353,0,0,0,9199,0,11915,420060,81563,0,71971,280240,1936000,889360,39469,0,0,0,0,0,0,0,183310,97778,0,0,139730,0,0,0,0,36596,248390,21022,108580,1541600,0,0,56262
IPI00029697,EXOSC9,0,42841,189360,227000,42705,0,61400,3147600,84740,153030,808800,0,249430,37957,324820,166440,24098,47229,0,157910,394510,504990,637090,261740,276470,0,20033,278940,172510,0,0,168130,0,0,148340,0,0,32060,0,626350,63922,78602,158670,0,0,0,177760,794760,88410,116330,0,0,64045,159710,0,0,82911,0,0
IPI00029722,KIF5A,0,0,24686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5618.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40860,0,0,0,0
IPI00029723,FSTL1,11666000,1042800,0,881810,201180,0,0,139690,9114.2,6603900,176660,357820,117760,0,0,0,0,0,0,0,0,0,0,0,0,116070,39699,0,0,23115,145770,0,180540,0,0,106630,1716400,0,66960,0,47946,107220,0,0,4414.2,1499800,0,1186100,162000,0,85939,0,330570,0,427890,1562700,32324,0,702360
IPI00029728,ERCC2,0,41888,85377,882550,39434,0,0,52678,12764,0,78136,16963,0,10707,0,67764,6092.9,164410,29616,0,0,0,125820,0,0,0,0,1499500,0,18121,30494,23752,853390,343300,138690,0,383350,0,0,38975,211670,102850,119850,0,0,0,0,21608,33665,0,0,0,0,89467,268490,0,72318,0,28880
IPI00029730,STX4,1556200,1438500,2130800,1114300,1110100,421340,553850,613510,3530500,1052700,4092300,292020,502710,75030,898080,70187,95428,219670,214870,99212,146330,0,1441300,0,358590,784920,396410,2312800,302880,407720,0,0,194320,998620,0,71853,2082900,1703800,521010,993510,1173600,0,1802300,278880,0,2543900,1391500,1155600,1789900,744470,923050,6291.7,1540100,474350,1442000,1188200,744220,270040,1230500
IPI00029731,RPL35A,0,0,0,0,0,0,0,8192100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00029733,AKR1C1/AKR1C2,0,4196800,0,0,136180,0,0,189520,21199000,0,3191400,2259200,156250,43714000,4802900,0,0,517600,1199800,7736600,4289300,0,9375200,0,1980200,0,0,0,0,309980,0,0,0,0,60241000,68829,19732000,150920,38916000,135790000,0,0,80602,0,0,0,818290,114220,34050000,591820,0,0,160280000,218050,7878400,1760900,0,5776100,85521
IPI00029737,ACSL4,3861500,797350,0,7919300,3137800,207230,0,4045300,4271000,3399500,1918800,736080,2401100,899370,2228300,883760,237510,1517900,1812400,4095600,81081,12484000,372590,1415300,3028700,795840,836580,18426000,2044100,347950,586370,3944900,12071000,3225300,1282400,168230,7314200,683610,28591,8154400,643130,359500,6145600,2556100,109360,15690000,0,12343000,1062300,4381500,9916100,5366900,10272000,5241100,2754400,6770500,4546600,1833300,3310700
IPI00029741,ITGB5,0,435880,0,461100,0,0,133630,57521,0,1684400,442790,1011500,596210,0,0,0,0,1005600,0,0,190250,388530,0,114380,2640800,0,0,496230,34584,0,453990,0,248470,5137400,604050,41488,344440,0,0,306710,21236,23345,801100,478500,0,719510,254660,0,199160,0,18699,14077,490150,0,363720,486480,0,12617,1074900
IPI00029744,SSBP1,17259000,3416900,49128000,50316000,22666000,14319000,11854000,12430000,18504000,5636500,6492700,4827300,2494100,15550000,22663000,5439300,281930,24493000,10209000,9822700,5868500,22851000,12071000,878260,13904000,18820000,8873600,123440000,25918000,858990,3977100,15367000,4332600,99093000,15555000,758950,51513000,23393000,4590000,42388000,17796000,5387100,117890000,0,2294200,305720000,307780,33040000,12641000,33009000,45334000,152230,43500000,10834000,5712200,826200,7019900,16420000,15684000
IPI00029751,CNTN1,0,0,0,466020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51670,0,0,1348200,0,34411,0,38966,642010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00029754,MLH1,0,5423.7,115710,40536,0,0,225410,14202,41488,0,0,39182,108170,0,0,0,21698,19076,34086,157650,0,0,175300,0,18583,0,0,2117300,0,0,704.09,583830,324830,186030,179710,9806.6,0,0,0,419630,73849,5615.8,0,121530,8611.1,0,0,214240,0,0,0,0,0,43585,27294,0,49383,0,0
IPI00029764,SF3A3,3327800,4025800,4174900,8051700,4212400,1478300,1243800,3118500,5844500,4357200,17336000,2924000,7916800,2438400,2359500,4269700,1866700,2859600,2962600,9614200,4315700,3037200,6287100,2661300,5523900,2205000,1858400,12514000,2444400,1149700,2321500,5791800,14345000,10295000,598090,441420,6332300,3140200,1888700,5868300,3737400,945370,4841800,1577100,330870,12699000,3654300,6593800,2829100,5168000,4837300,5403500,3270500,2364200,5940600,8146700,3045000,4300500,1211500
IPI00029772,DPYD,0,0,0,0,0,0,0,125960,0,0,0,0,410940,0,0,0,0,0,0,0,0,0,0,17952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39738
IPI00029810,MND1 (includes EG:295160),0,0,0,0,0,0,0,3669800,0,0,0,0,0,0,0,145530,0,0,60756,0,97191,0,0,260590,0,0,0,0,62498,0,0,0,0,0,0,0,0,0,0,0,0,33654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00029817,NEU1,237400,156910,0,400020,539810,60666,853630,776090,0,3922000,338270,40646,305900,251630,272620,0,0,0,77132,0,0,0,0,0,0,721790,126500,1241400,2579200,44838,43768,1923700,2592300,838210,0,0,1747600,53837,1429400,0,334810,0,523270,0,0,839380,212360,102930,0,500410,0,0,386190,0,437830,334090,0,71506,235960
IPI00029819,NOTCH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.6,6404.6,0,0,0,3218.2,0,0,0,0,0,0,0,0,0,0,0,33191,0,0,0
IPI00029834,RTKN,0,0,0,0,0,0,0,0,0,0,0,148710,0,0,18440,36417,57479,0,117560,171740,0,0,0,0,0,0,0,0,0,104530,0,0,0,0,0,0,0,12264,0,0,33923,0,0,0,0,0,0,0,0,253880,0,0,222100,0,0,129360,41626,22885,0
IPI00029997,PGLS,2177900,1554500,4901500,5033000,13580000,1255200,6902600,16149000,6911800,2185900,4923300,1726800,5221800,6032600,2817500,1162600,1348500,3650900,4381300,14323000,9121400,19569000,4382000,17601000,4951300,1895400,81540,28164000,947640,375910,292750,8192800,5210300,14689000,4953000,156040,1465000,4121600,1247400,714100,8047900,627780,1695000,1439000,521290,15395000,14088000,5710900,5716700,2501600,22271000,1026800,9265200,2413600,4025700,17039000,8224000,2946000,4925100
IPI00030009,PAPSS2,0,292540,153960,5058700,1668700,73877,488800,1828500,581270,103030,133490,630060,20956,64160,258770,289880,42618,1043500,52818,139210,33765,0,0,0,110110,0,22785,0,8934.7,491930,4994.4,8013900,0,7161200,1180300,51804,5233800,1123700,0,6562400,26234,181820,48818,148960,21042,477500,0,1851100,0,699760,1845000,88967,5623800,669760,516910,27412000,1131900,1030900,1135700
IPI00030023,HNMT,0,0,0,0,0,0,0,0,0,0,0,0,238070,156700,792510,0,0,315560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151530,0,0,0,0,0,0,0,71370,0,0,0,0
IPI00030058,GNG4,0,0,0,0,0,0,0,0,0,0,0,0,0,425870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402170,0,0,0,0,0,0,152810,0,0,0,0,0,0,2514400,276620,0,0,0,0,0
IPI00030059,GNG10,15225,5261.2,0,763360,241810,0,0,242570,0,0,75100,0,900270,0,0,0,0,0,0,331020,0,0,79136,0,0,0,0,0,0,0,0,0,0,0,397200,0,0,0,0,254480,0,201970,0,0,36539,0,78322,151290,0,1510000,0,0,141530,0,0,278730,46825,0,0
IPI00030098,FAM50A,3312000,91772,0,819460,2456300,1599200,289150,511080,55163,562700,2447200,935680,5648800,0,166740,0,0,3095500,196200,302710,0,0,0,0,1058600,1830000,142130,4408600,0,0,7259.9,7877900,2156600,437020,151890,191090,5361900,964410,0,617680,578760,139570,141580,129930,7543.4,581090,0,997950,0,1073600,696210,0,255940,0,482790,3015200,0,143020,0
IPI00030106,TPST1,0,0,0,0,0,0,0,0,0,44989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11952,0,0,0,0,0,0,0,0,0,0,0,0,0,100190,0,0,0
IPI00030131,TMPO,2878700,533560,5199700,10435000,5515900,982220,1235700,755070,382760,154850,4317300,161080,1890000,996000,2379200,1017800,984060,2282600,2133900,6105800,7304100,2052600,3768200,10032000,2274200,982070,3852100,5415900,976780,93283,166310,5045300,1416000,602580,155960,205140,1673100,2841900,686190,3184000,4771600,280910,1548000,0,996550,3215400,284640,3366700,1244900,2596500,3452600,809450,279480,1215600,0,530430,1641500,382890,201180
IPI00030182,GAMT,0,0,131680,774220,941930,0,771040,425590,0,0,0,0,0,0,0,1625400,62107,0,0,0,1506900,0,0,1587900,494690,246920,0,0,267360,142770,0,0,156170,3825500,0,0,0,408460,0,0,1060800,0,0,0,0,0,0,1431000,0,0,700890,0,681080,392130,0,0,119060,0,809720
IPI00030207,GMDS,40549,0,382960,0,540830,70805,0,407970,0,162190,0,0,90934,9209800,1348100,0,58635,2654600,635080,3483900,486940,2701100,0,901970,5059200,270200,0,760080,12295,0,0,745670,335230,1317100,75813,560610,0,0,0,441250,0,6882.8,0,0,0,479340,0,114080,223330,41363,811260,0,1028900,0,0,0,0,0,12837
IPI00030236,TMEM222,0,0,0,312650,0,0,0,0,0,0,0,0,0,100780,0,0,0,69497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119830,0,0,0,0,293010,0
IPI00030255,PLOD3,2789100,1957800,2667600,980950,585050,6754800,45816,1714000,2909100,5843500,6846000,6027000,3447900,0,1096400,661100,205290,3601800,870870,1382900,0,1196100,556030,0,1591000,1637900,78483,42899000,3284100,21975,1603100,9176500,15830000,31731000,185500,24173,2133600,1187600,0,2109400,507230,83796,3467200,4779700,95523,24257000,902990,641850,234690,174850,5674300,2018600,7211200,1133500,672820,19578000,1941100,429640,1072600
IPI00030273,MST1R,0,0,0,0,0,0,0,0,0,0,0,0,0,1764.8,28222,0,11359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26745,0,0,0,0,0,0,0,143290,0,68102,0,0,0,0,0,0,0,9565.1,13526,0
IPI00030275,TRAP1,8806300,3577400,22160000,57662000,4442300,7200100,8454000,6825700,10544000,3030100,9944700,1480900,12172000,6575200,21559000,12243000,3187000,13999000,7862700,29134000,357150,15233000,17067000,3528800,30796000,18168000,2804200,0,4904000,4548600,1964000,21754000,45461000,40888000,21372000,315970,9927100,9629700,68583,45983000,11981000,420530,9600300,7603800,1767300,30052000,540870,18394000,10823000,12596000,38918000,16626000,6918400,14397000,5195900,9204300,25578000,7797200,4942500
IPI00030320,DDX6,1652600,1867700,5075300,7591800,6048400,1320100,2895700,12465000,4780700,1394000,11370000,1722900,7364200,3254500,2397700,4630700,463670,5427000,3322600,11927000,7179700,8382400,4822200,3481500,1380300,1634100,2667500,10599000,749410,346640,255230,6294800,4497100,2431800,178580,704260,3484800,1910400,1444400,2436600,2523100,372450,408280,422850,811290,9894800,528780,2537200,1871900,10344000,3053300,1773700,1043600,1318400,1657800,6784400,1769800,684280,262070
IPI00030328,SRR,0,0,0,35775,0,0,33866,1197500,0,0,0,465530,425670,0,0,0,0,0,0,0,658850,0,0,0,0,0,0,2861500,19892,0,0,0,0,0,0,0,0,0,0,0,58091,46397,0,0,0,0,0,0,0,0,0,0,0,0,0,47509,0,0,0
IPI00030351,DLG1,0,0,0,0,0,0,0,0,0,0,0,0,0,14025,0,0,0,0,7575.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00030355,PPP1R11,0,0,198130,0,1221300,601090,336240,86231,60452,303000,0,0,0,516010,0,0,0,0,163380,0,241520,0,0,0,0,271170,0,0,0,0,0,0,298890,511390,0,0,0,0,0,0,0,0,0,42073,0,1066700,0,0,0,0,696340,0,0,0,0,0,0,114910,95011
IPI00030356,MCL1,109090,35407,227490,0,0,31882,89605,0,0,71330,149360,0,0,0,0,0,0,0,0,103300,0,0,0,0,270570,0,163030,0,0,0,0,0,0,0,0,13884,0,94601,0,0,0,0,0,0,0,105660,0,0,0,112450,0,0,0,0,0,0,0,0,0
IPI00030362,PLP2,14485000,4338500,5802500,6813800,20918000,6632900,5320800,8437000,14331000,11128000,26020000,2426000,1491400,3467500,5024000,3879800,1450500,3662000,6438800,8148200,857960,5214800,3394400,0,19772000,6191600,4976200,14241000,4053800,84220,9699.3,0,2217000,22545000,14671000,64912,5659700,1991300,1832000,19007000,6785500,0,51107000,71151,3306700,47064000,1584300,14085000,6048600,6206900,23974000,18388,8453400,3129200,6524600,1753800,14822000,9272100,3388200
IPI00030363,ACAT1,17479000,6466500,6227700,18608000,15728000,8862000,9616300,141880000,741820,6283700,28230000,4578600,9133600,2123300,10286000,5720900,2204200,6387300,6338800,27020000,2980900,14662000,3830300,4014600,21938000,32136000,4357800,36492000,6561100,439830,831840,25267000,51057000,43910000,2818800,6346700,41442000,3647400,3359600,16860000,15429000,707020,15155000,1005500,122360,22142000,3942100,7787600,5791700,15739000,17199000,0,9588800,5195300,13036000,15574000,680600,2126300,10641000
IPI00030364,TAF10 (includes EG:24075),0,0,0,0,0,233690,0,0,0,0,0,26370,0,0,0,0,0,0,111430,0,0,0,0,0,0,424410,0,0,0,159310,0,0,348890,0,0,0,309090,0,0,0,0,0,0,39325,225550,0,0,0,0,434650,175440,0,0,0,0,0,0,0,0
IPI00030371,TRIM4,2284900,2330700,7891900,17900000,32605000,35381000,8826200,34166000,493310,5010000,981250,14460000,14645000,2517600,7927500,4550700,2869500,13999000,5508900,12858000,7695100,17177000,6699100,11466000,2833300,23046000,19078000,73685000,6249000,39954,1051600,34809000,10916000,28094000,223200,3073200,9801800,10181000,2580800,120930,3833300,1762300,0,80190,27118,11375000,2639200,8271300,9906000,16992000,12450000,3385700,2017400,0,4629600,23836000,675840,3108200,1671900
IPI00030380,GTF2H1,0,0,0,60779,53841,22872,0,0,0,0,0,21083,13412,9215.1,23163,8928.1,9260.2,13548,13949,35345,12399,0,0,20737,0,72071,61491,139080,0,0,68908,67396,0,344180,16829,8669.4,85970,0,7796.4,0,22638,34464,0,26219,0,23197,0,0,0,0,0,0,34443,10806,0,30382,0,0,4971.7
IPI00030383,PPP1R8,0,0,0,0,0,90093,0,0,0,0,396680,96290,295120,0,21595,0,0,197640,55192,562830,175790,0,519820,8620.2,233260,203880,0,3611700,0,0,31848,0,435290,0,0,65129,0,0,0,0,478650,154920,0,0,0,0,0,186620,0,0,186780,0,0,0,0,1593300,8187.3,0,0
IPI00030389,ABR,331910,158470,53787,0,60684,0,129010,525510,0,104440,148820,62386,316770,85311,167170,22134,0,128920,92293,123510,0,80104,0,0,32616,115410,0,3241800,0,0,0,62191,302520,148110,309640,0,95950,0,0,47793,0,0,24031,0,0,0,144800,80276,0,51553,44478,27378,492310,224070,309890,423070,276790,71559,75600
IPI00030399,BNIP2,0,0,0,0,195790,63787,0,0,0,0,0,0,89613,0,0,83501,0,0,0,0,0,0,0,0,0,322000,78675,2176100,0,0,0,171790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38533,0,0,0,79889,0,0,0,0,0,0
IPI00030431,ANTXR1,0,0,0,23075,32175,0,0,0,0,0,0,0,25083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76133,0,0,0,4401.4,22691,0,0,710710,0,6343.8,0,0,0,0,0,0,0,148230,0,0,0,0,0,25316,0,0,88542
IPI00030481,MED10,0,0,287910,0,253140,39915,250870,0,0,0,0,0,0,0,0,0,0,0,51615,0,0,0,0,0,0,0,241130,0,26456,0,26463,0,0,193140,0,0,113140,58725,0,323320,0,0,60644,0,0,184310,0,0,0,58054,181090,0,0,0,0,0,0,0,29585
IPI00030542, ,0,0,0,0,0,504680,0,0,352090,0,0,0,0,0,0,0,0,0,0,0,45203,0,0,22867,599460,583950,0,737520,0,19466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363800,0,0
IPI00030578,VAT1L,0,0,0,0,0,0,0,260360,0,0,0,0,120100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00030634,GGT7,141900,161830,0,0,0,0,0,0,0,585160,0,0,42774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83788,46993,72165,0,261420,387340,0,0,0,0,0,0,0,0,56047,69480,20842,413890,0,0,0,0,0,0,0,0,0,262950,0,0,0
IPI00030649,CNIH,0,0,0,0,0,0,0,0,0,0,0,128660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719480,0,0,0,0,0,0
IPI00030654,CPSF6,4860600,1030800,4661900,11671000,5264000,1996500,3833000,4607000,4068300,2695500,7793600,1193600,5084200,1766400,2461000,3248300,1257400,3502500,2695100,8455100,4442800,11762000,5307100,4728400,2555400,6018900,3002800,2917500,533250,1427300,1816000,6405400,10173000,6620500,4926000,386190,4412800,4442900,832370,8038800,3425500,865460,3784700,3370700,1040000,16674000,823070,5220700,3012700,6078600,9872400,79950,4250300,3287500,3665700,5498400,6954400,3718000,1553500
IPI00030675,BRI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355370,0,0,0,0,0,0,0,0,0,0,0,0,0,518780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00030702,IDH3A,3410000,1770600,9966000,9938700,3196600,5296100,1574900,5554400,14651000,7003000,46353000,3890300,22034000,3611600,6070600,3611200,523460,9398100,2342000,11537000,9341600,1128500,1192100,2848200,6395500,15361000,1488200,48660000,11915000,1940200,1823400,32536000,31208000,28652000,2255900,568450,27160000,3691100,4358200,16782000,2625100,896410,7708700,3471000,886950,9870600,8769000,2097300,5162000,9584500,7030200,38519,5677900,1686700,4399000,5281100,3119300,2674800,1561500
IPI00030706,AHSA1,1450900,0,3736000,9603100,5533300,8609400,1812400,913440,0,785720,1702600,1245300,5234400,1366300,3173300,2534500,930730,3153200,1417800,4344200,7253900,6566400,2524800,6512000,11954000,2896000,1473900,11753000,1667200,106180,282260,14422000,5323500,14301000,2837900,539530,3149800,4744500,1166800,3900200,2565700,1087300,317680,1584500,0,3468200,2695300,1308100,879280,8853400,4728800,0,1381800,698670,896930,12078000,35237,654460,1227800
IPI00030770,PSMG1,160800,117970,1296700,1420700,2249300,329960,662090,5194300,242910,48145,937500,328630,1753700,173970,809550,288250,330330,1470800,628550,3515700,2166900,6698800,1646000,0,3215000,540330,486030,8915000,138760,53142,26557,957870,1032200,1466300,603820,164870,1045000,275880,21764,465430,897150,460840,92374,151560,197280,559570,288490,1133000,924300,2274700,604450,11833,354260,122840,229520,3109800,1487700,194080,270640
IPI00030781,STAT1,1663000,4366100,1571200,4390100,579160,805460,1506500,8788000,33991,22510000,606230,2928600,1208600,2110900,2417800,1777400,570230,5363400,1541100,3266100,128580,630410,1119300,1219100,2306800,1201400,225590,33329000,1571500,239800,2603100,5405400,11080000,4724600,4730200,530360,11762000,132160,312370,2985200,1872300,429400,384650,2158800,141200,1395500,3839300,2674500,1464500,5510900,1369000,2384800,5671800,23046000,21529000,135580000,2440600,24265000,1598900
IPI00030782,STAT6,0,0,0,0,0,0,0,0,0,0,0,0,0,43175,355410,0,5737.3,419550,0,0,12885,0,81053,0,272020,0,0,3543700,490470,0,0,73195,997260,345490,0,0,213820,0,0,153530,0,0,0,92102,0,0,0,0,0,0,0,0,167080,595860,917510,2854200,0,0,650670
IPI00030783,STAT5A,0,14281,0,0,66717,110460,67827,46456,0,0,0,0,0,66439,19479,0,16082,0,0,0,804790,130790,13522000,1130100,0,0,0,1366100,607990,0,6671.7,271100,2192900,402850,0,0,0,252380,0,0,152570,8721.7,0,36855,0,0,0,26342,104590,0,27984,0,45571,57527,26001,0,0,0,174280
IPI00030820,MRPL47,0,0,0,0,0,0,0,485050,0,0,0,0,0,0,0,0,0,0,15834,0,0,0,0,0,0,0,0,208290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18967,0,0,0,0
IPI00030847,TM9SF3,2745200,309950,2416700,4535100,1913900,134600,3827300,360780,1989300,1396900,2359600,774480,1769900,4744900,4807800,64071,443670,4450100,684100,2593000,197340,5341300,394810,834400,1473800,541300,701170,3221400,1284200,113130,335100,3180400,5094500,3499000,3383200,268310,11621000,271500,392600,4798800,1988900,517570,3181500,200930,668980,5835800,5782800,945720,1566600,2107700,709040,354960,4215000,2069000,4171800,1094200,564180,308230,956300
IPI00030851,SEC24B,55414,0,242400,410250,255670,134530,100530,391770,392180,16904,390950,62326,207200,119750,44066,50388,74862,175450,103540,184100,781050,48733,154320,536920,41100,124990,39419,131700,60009,59847,3427.4,149760,385470,316630,63317,43681,39878,364990,0,44357,5189.4,7790.3,0,80412,94435,285160,20958,66519,310690,455860,1870.3,91324,192440,21755,23752,137690,140670,39283,67327
IPI00030877,15-Sep,4148900,163930,603170,1183100,487260,2626400,3145800,35342000,1584500,1844800,0,1168700,3590000,273880,423160,348910,5294300,787250,343550,0,85683,467560,3079200,0,38160000,5995200,8584200,4796000,739600,0,337730,32696,3324000,7594100,82655,151550,0,471850,1172100,285100,273090,319440,12979000,9202200,0,3531200,166510,5336700,1047600,70121,2365000,13384000,1545800,9569700,14476000,49193,9160.3,389230,9155400
IPI00030911,VAMP8,0,81793,10304000,3719400,15040000,0,876480,0,0,0,0,0,0,7544000,3545100,282490,0,7745100,2023600,1456000,634470,50907000,12782000,0,4425100,5712700,0,0,628210,163770,61157,3100900,13912,0,318750,0,1191900,0,9837800,4258400,1280800,0,8612600,0,335530,31782000,1763800,1766200,2681300,3745600,10414000,20052,15860000,1988900,92740,1164800,187090,3036100,2764200
IPI00030915,USP8,0,9530.9,1502400,51911,0,0,2406.8,69926,152620,24423,52536,8052.2,312450,112970,18120,57408,113120,107750,49534,244690,161600,345970,126000,267900,181980,0,0,1449500,74099,6421.1,0,75547,884690,93959,107630,12154,54285,116320,0,160120,2899.6,0,16479,34430,5108.6,0,0,19810,45238,288510,120900,0,0,0,0,149980,32527,17324,0
IPI00030919,LAMTOR3,4009300,0,3385400,0,0,194960,504880,457560,0,0,0,133140,0,3518400,1069700,786620,0,534070,955520,0,57160,817850,2246100,0,0,3434600,0,3170200,1504400,0,612950,0,0,8161300,0,1721900,1709300,0,1972000,685740,407530,541400,3157200,0,0,7287600,0,128060,3268200,555920,5173200,0,7315100,1401900,0,0,0,1060400,1831600
IPI00030936,TSPAN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2483300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201760,0,0,0,0,0,0,0,462400,0,1948700,0,0,0,0,0,0,0,0,0,0
IPI00030968,C9orf142,826120,191640,739800,805420,453100,0,1928100,72237,0,0,230220,127940,87900,697050,80414,327040,63319,366380,215730,342520,1261300,329260,846670,114440,3413600,0,0,5651700,158680,118850,0,0,0,357350,461230,142200,107680,135350,1293400,630660,0,62327,7113.7,158350,383720,0,869800,1040500,1185700,1879300,761420,91230,288200,107590,615250,0,895360,292350,164560
